,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
document_113,udah,kali,belanja,disinidan,bagusbut,bahan,kali,kasar,aja,siyang,kemarin,bener,halus,maybe,cuci,dapet,wbahan,halus,,,,,,,,,,,,,,,,,,,,,,
document_114,kali,beli,kecewa,terimakasih,seller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_115,paket,nyanpenya,cepet,banget,haei,paket,ku,eh,kemeja,bagus,bahan,lembut,tebal,tipis,nila,harga,segitu,oh,iya,coksunya,pink,pake,flash,kayak,pink,gitu,,,,,,,,,,,,,,
document_116,buagus,banget,gila,harga,segitu,kain,adem,banget,jatuh,sukak,beli,ah,hehehehehehe,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_117,bagus,banget,recomended,beli,toko,ragu,ges,gud,muat,kg,xixixi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_118,bagus,banget,astaga,kacau,fix,banget,nti,rebuy,woe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_119,bahan,adem,warna,soft,pokok,bagus,pol,udah,beli,kali,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_120,beli,keduakalinya,gapernah,gagal,tengkyu,endorse,akudong,ahahaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_121,beli,model,kaya,gin,toko,beda,warna,aja,bedan,bahan,bagus,bahan,rawang,bahan,langsung,klihatan,adem,bahan,rayon,,,,,,,,,,,,,,,,,,,,,
document_122,harga,gin,tp,nila,itmau,ber,ekspetasi,katun,rayon,mal,salah,cuting,an,blakang,sinkronmiring,gtu,simetris,,,,,,,,,,,,,,,,,,,,,,,
document_123,baju,bgus,bahan,adem,jumbo,ukuranya,tanganya,pendek,baget,tp,gapapa,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_124,bahan,super,adem,banget,kain,lemes,gitu,jatuh,cmn,gede,maka,kayak,hamil,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_125,masya,cantik,nyesel,pesan,makas,ka,insya,pesan,warna,bahan,tebal,tipis,sesuai,harga,ku,syuka,,,,,,,,,,,,,,,,,,,,,,,,
document_126,bagus,baju,kain,jatuh,dingin,pokok,rugi,klo,beli,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_127,bahan,adem,kualitas,standar,lengan,lebib,pendek,drpd,kir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_128,sumpah,bagus,banget,bahan,adem,pengirimanya,cepet,banget,sampe,kaget,udh,sampe,aja,ngknyesel,kecewa,pesan,lg,tp,warna,dipgn,dh,keburu,habis,,,,,,,,,,,,,,,,,
document_129,oke,banget,kecewa,ih,besok,belanja,aja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_130,adem,bingit,bahan,suka,sayang,dikit,tpi,kualitas,tetep,oke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_131,kemeja,bagus,banget,bahan,warna,bener,bener,soft,banget,norak,gt,bahan,jura,banget,,,,,,,,,,,,,,,,,,,,,,,,,,
document_132,bagus,banget,kemeja,bs,outer,lenga,pendek,bahan,adem,thank,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_133,bahan,adem,kain,jatuh,gtu,panas,bikin,gerah,sayang,pendek,pas,pingang,dikit,suka,bngt,,,,,,,,,,,,,,,,,,,,,,,,,
document_134,bagus,banget,barang,original,rusa,pesan,terimakasih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_135,kecewa,barang,asli,pic,banget,adem,pake,pas,banget,cuaca,panasmakasih,kakak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_136,best,banget,mah,nyesel,model,sen,bahan,lembut,syuka,pokok,terimakasih,seller,insya,langanan,kirim,lambat,turut,,,,,,,,,,,,,,,,,,,,,,,
document_137,suka,banget,bahan,ademn,parah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_138,bagus,bahan,adem,model,cocok,bagus,banget,taste,aja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_139,cepet,banget,kemarin,sen,langsung,bahan,bagus,rayon,lenga,pendek,overal,oke,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_140,nyangka,cepet,banget,sampenya,bahan,bagus,bangetadem,dipakebener,bener,ngecewain,nyesel,beli,doangbakal,beli,si,,,,,,,,,,,,,,,,,,,,,,,,,
document_141,alhamdulilah,barang,bagus,kalo,bahan,terawang,nga,tau,bahan,rayon,tetep,terawang,harga,mahal,nga,nila,turut,harga,segitu,,,,,,,,,,,,,,,,,,,,,
document_142,fix,bgus,parahmksh,seller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_143,bahan,adem,bangetlembut,nyangka,bagus,warna,norak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_144,gila,whorit,banget,sumpah,bahan,adem,pesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_145,kali,beli,beli,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_146,bahan,bagus,adem,jatoh,rada,kecewa,warna,lilac,kirim,abu,kecewa,banget,jd,males,kalo,beli,teh,,,,,,,,,,,,,,,,,,,,,,,
document_147,bagus,banget,bahan,adem,nerawang,best,kirim,aja,overal,god,oder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_148,baju,tipis,nerawang,untung,warna,item,kalo,warna,laen,nerawang,kain,kasar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_149,bahan,adem,tipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_150,bagus,bgtbahan,adem,dn,tebalga,tipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_151,bahan,bikin,gerah,jatuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_152,legan,q,dikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_153,nyesel,beli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_154,bahan,panas,nerawang,katun,kaya,pesan,kecewa,ih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_155,udah,brapa,kali,beli,toko,bahan,kecewa,adem,banget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_156,bgaus,banget,taukayak,kemeja,mahal,gitulembut,banget,ni,pesan,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_157,rada,jengkel,pengirimanya,lelet,tp,itu,dr,kurir,bkn,dr,owner,baju,bagus,bgtbahan,adem,trs,jg,nerawang,pokok,luv,banget,nyesel,thank,you,,,,,,,,,,,,,,,,
